"","review","rating"
"11","I absolutely LOVED this movie! It was SO good! This movie is told by the parrot, Paulie's point of view. Paulie is given to the little girl Marie, as a present. Paulie helps Marie learn to talk and they become best friends. But when Paulie tells Marie to fly, she falls and the bird is sent away. That's when the adventure begins. Paulie goes through so much to find his way back to Marie. This movie is so sweet, funny, touching, sad, and more. When I first watched this movie, it made me cry. The birds courage and urge to go find his Marie for all that time, was so touching. I must say that the ending is so sweet and sad, but you'll have to watch it to find out how it goes. At the end, the janitor tries to help him, after hearing his story. Will he find his long lost Marie or not? Find out when you watch this sweet, heart warming movie. It'll touch your heart. Rating:10",1
"12","this is my first review on IMDb, i didn't really want to write one but since there are only 2 for this great movie right now, i feel compelled to add my perspective...and no, i'm not associated to the movie makers in any way (yeah yeah how often did you here that before ;-) ) FYI i'm in my late 20s<br /><br />1st of all i have to admit i really like animated movies, because what you see is only limited by the imagination of the creators and they were pretty imaginative on this one. Not so much in terms of story but in achieving a very unique and imo fresh visual style. The characters look good but far from real and it works well for the movie, after all it's a fairytale-like world. But the backgrounds and the world in general is filled with awesome visuals that my jaw dropped several times while watching this. The blue, bunny-like mini-dragon steels the show and has easily some of the funniest moments of the movie, he is already an instant classic, much as Scrat from Ice Age. The story is not too surprising (a bunch of anti-heroes have to go out and slay the biggest dragon you can imagine) but who cares if the movie looks and sounds THAT good ;-) 1 thing i have to point out, imo the movie is not suited for VERY young children because it has some darker scenes in it and maybe frightening for kids under 6-8 i would say, these are only very few scenes but worth mentioning imo. Anyway i had a great time watching this and can't wait for it to hit the stores in high def to watch it over and over again just for the sheer beauty of it.<br /><br />8,5 for me",1
"13","A film that can make you shed tears of sadness and tears of joy would be considered quite a step in the career of a common filmmaker. The fact is, Steven Spielberg, probably our greatest story-teller, has been doing this in various movie formats for years. THE COLOR PURPLE, at the time, was considered risky, especially after action classics like JAWS and RAIDERS OF THE LOST ARK. In hindsight, this film should have come as no surprise, for Spielberg had made us cry tears of joy and sadness in E.T. Critics called COLOR PURPLE his entrance into intellectual fare. It is quite an entrance. No special effects, no swashbuckling, just brilliant story-telling based on a literary classic by Alice Walker. One surprise is how Spielberg could present such a moving film about African-Americans in the deep south. Slavery is gone, but in the south depicted here, it seems as though blacks are using other blacks as slaves. <br /><br />Spielberg is always put down for sentimentalizing his pictures or adding an element of childishness to please the audience. This is really the first of overlooked films from his career that you cannot make these observations. It is the first in a line of films people either didn't see or wouldn't see because there are no aliens. EMPIRE OF THE SUN, ALWAYS, SCHINDLER'S LIST, etc.. His awesome talent is obvious with this specific picture because A) he uses mostly untrained, first-time actors, B) he tackles a subject most felt was unadaptable to the screen, and C) it is pure drama with no strings pulled where characters grow and change over the passage of roughly 30 years. It is almost epic-like in look and scope and the fact that it did not garner a single Academy Award from 11 nominations is a travesty and an insult.<br /><br />Whoopi Goldberg is fabulous as the tortured Celie, an unattractive woman given away by her incestuous father to an abusive Danny Glover, who she only knows as ""Mister"". The film follows a path of occasional beatings and mental torture she goes through while with ""Mister"". The PG-13 rated film is pretty open to the sexual issues raised by the Walker novel. This is not ""The Burning Bed"" in Georgia by any means. There is no blatant revenge taken as might be expected. It happens gracefully. Goldberg perfectly plays a human being, someone in need of love and someone who deserves it. The films' most poignant and heartbreaking moment comes when Goldberg and her sister, Nettie (played by Akosua Busia) are separated, maybe forever. (Possibly foreshadowing Holocaust separation of child and parent?) You may have to check for a pulse if you are not moved by this sequence.<br /><br />The color purple stands for the beauty of the fields and flowers surrounding these poor people. There really is something to live for, but love triumphs over all. Spielberg bashers take note: the guy can make an unforgettable classic without any cute aliens.<br /><br />RATING: 10 of 10",1
"14","Dirty Harry has to track down a rape victim who extracts revenge by shooting her assailants in the goolies before killing them. Probably a more apt punishment would be to let them live after the initial shot and let them suffer forever like she and her sister has...Anyway..... an action-packed story set again in San Francisco and Santa Cruz. The chief rapist, played by Andy Drake is suitably vile and gets his punishment at the end (of course!). Not a classic movie but better than the others except for the original Dirty Harry.",1
"15","Maybe the movie itself isn't one of the best Jackie Chan's movies, but I think everybody will agree with me that the mall fight was one of the best fighting scenes ever made. There also was some memorable stunts, which were so impressive that they made this movie an action classic. This movie influenced many other action movies and I think that nowadays action movie makers should learn from this film (like they could remake that chase scene, I thing with modern technologies they could make it even better). There also were some funny scenes which made this movie enjoyable even when Jackie wasn't fighting. Althou I think they could put more fighting scenes in this film.",1
"16","'Iphigenia' is the great achievement of Michael Cacoyannis. This masterful play is masterfully adapted for the screen and brought to life by a wonderful cast. Cacoyannis achieved the impossible. He managed to film a Greek tragedy to screen without losing its effectiveness and importance. A stellar greek cast helps him in this. Newcomer Tatiana Papamoschou is extremely impressive as Iphigenia. Equally impressive is Irene Papas ,who even though she sometimes seems over the top, it is very realistic. A wonderful Greek film, beautifully adapted and directed by Michael Cacoyannis, with an excellent music score by Mikis Theodorakis which is ideal in every scene.<br /><br />P.S. Rumours say that the film lost the best foreign language film Oscar by only 1 vote!!!",1
"17","Shame on Yash Raj films and Aditya Chopra who seems to have lost their intelligence over the years and providing steady fare of tripe in this piece of cinematic crap thats not even worth You Tube standards. I was gritting my teeth throughout the whole flick start to finish with the schizophrenic direction, plot line that never quite materialized and on the last scene I just felt ashamed that my country and its crorepati film makers can ""THROW AWAY"" crores on such stupidity. Shame on the actors for taking this work and even commenting on it as some piece of work they can own up to. Saif Ali Khan -completely disappointed in your choice of film. Kareen shows enough skin for the puberty stricken and Akshay comes up as the dim-wit. Anil another retard with a pubescent fascination for English. His cronies were commendable in their acting and with the bizarre cinematography scattered in the last 15 minutes, it was enough to pop a blood vessel. DON'T WASTe any brain cells, energy or your money to go see this- Go SEE / Rent AMU -with Konkana Sensharma instead- a beautiful piece of independent film thats ever come out of India.Intelligent, poignant and a wonderful story-tale that will touch everyone with intelligent actors and gave me hope that all is not lost in Indian cinema making.",0
"18","I just saw a press screening of this film and I was pleasantly surprised. Not often is it that I get to see all of my favorite actors in one film at one time.<br /><br />I really enjoyed the pick pocket scene and it was good to see Rachael Bilson and Hayden back together. I think their chemistry on camera is a direct result of their time together off camera. My favorite scene was by far (surprisingly so) Bret Ratner's piece... Without giving too much away, I'll just say that there is a surprise that leaves you hanging...<br /><br />The old couple were really good together and you actually got the impression that they had spent a lifetime together. <br /><br />Both the Chris Cooper and the Ethan Hawke segments packed a punch with surprises that seem realistic and similar to experiences that I've had in the big apple. Over all the film is a great place to take a date... especially if you're already fond of the city itself.<br /><br />I can't wait for the next in the Cities of Love.",1
"19","it got switched off before the opening credits had even finished appearing. The first joke was just so appallingly lame and dreadfully acted that it had to go. You shouldn't really decide to watch this based on my review or not. I saw so little of it I shouldn't even really be commenting but suddenly it all became clear why the video shop guy was sniggering at us paying money to see it.<br /><br />Couldn't they have just made Earnest does Dallas?",0
"20","A truly horrible film that left me feeling sullied by having watched the forty minutes or so I could stand. Not the actors' fault, but the writer/director, producers, financiers, etc., need a very stiff talking to. Maybe it thinks it is profound. It isn't. This rape and ultra-violence, unlike that central to Clockwork Orange, has nothing to say about or add to the sum of human understanding. It's no Straw Dogs, either, to which I have seen it compared. Rather it feels like something Pete Walker might have turned his hand to, yet even in saying that I'm probably being a bit unfair on Pete Walker.<br /><br />Revenge is a powerful human desire, but The Bedroom Window has more to say about that and male emasculation than this pitiful effort.<br /><br />I don't think it's particularly misogynistic, merely too gleeful in its depiction of certain details -- the blood running down GA's leg post rape, par example. It's neither challenging nor confrontational, though I'm sure the film-makers consider themselves very 'daring', just deeply unpleasant.<br /><br />Is this as high as we can aim? Is this why those involved wanted to make films? ( I did write in here the Latin phrase which translates as Oh the Times! Oh the customs! But the new spell-check on IMDb wouldn't let me post until I had removed it. Likewise I had to remove square parentheses. Get it sorted IMDb.)<br /><br />Where is the lofty aspiration? The noble impulse? When you look at British film - the joyful comedies of Ealing or the Boulting Brothers; Carol Reed's work with Graham Greene on Fallen Idol, Our Man in Havana or the sublime The Third Man (a film which has far more to say about evil than a thousand Straightheads); the work of Powell & Pressburger; or if you want to talk about sex, violence and male emasculation look at ""The Offence' Dir. Sidney Lumet, from an original play by John Hopkins; check out ""Tunes of Glory"" for something worth making, that has something to say.<br /><br />Unlike the foregoing, Straightheads is, alas, an altogether hateful waste of celluloid.",0
"21","If you've seen other movies like this, they're probably better. The Omega Man comes to mind. To the studio's credit, they avoided the sprawling, unnecessary, big budget technofest that typifies movies of this ilk. Additionally, the set-up and premise were excellent: four people whose past is virtually irrelevant to us are trying to get away from an overwhelming infectious fatal disease. What's bad is EVERYTHING else! I get tired of endlessly stupid, careless, wimpy, ineffective, arrogant characters in a movie. That pretty much describes everyone in the movie at some point. I rented it, and found myself yelling at the TV repeatedly, ""no, don't do that!"", ""why are you so stupid"", ""look out!"", etcetera. A true lack of character development is evident about halfway in. A movie SHOULD give you a strong personal connection with at least some of the characters so that you actually care what happens to them. This one does not. Also,there should have been a longer, more involving end to the movie as well.",0
"22","Poor Robert Englund makes another flop and to the expense of Tobe Hooper who usually makes pretty good horror movies but he failed pretty bad at this one. Englund plays the well known Marque De Sade who in the 17th century was enprisoned for his obsession of pain and the pleasure of bringing pain upon himself as well as watching others also be in pain. The story is so confusing with the flip flop from one century to another and I became confused as to what was going on and what was the purpose of this movie. All I saw was a young lady that became entrapped by a strange lesbian who desides to keep her to herself and the young lady became fascinated by this Arabian with alot of money and finds out that he's out to have her killed and then Englund steps in from one century to another claiming to be a descendent of the de Sade and tries to kill her because she reminded him of the Madam Momoselle(spelled that wrong) or whoever it was in the picture above De Sades wall. The movie was terrible, I am surprised at Hooper for hireing Englund in this film and the special effects were so fake and laughable, especially the part about the eyes. Englund tries to make a comeback from his once hit move ""Nightmare on Elm St."" by using these pull in and out needles to put out peoples eyes. Terrible, absolutely terrible.",0
"23","I can't believe that in the 34 prior comments, nobody mentioned that this film is a blatant rip-off of Born Yesterday. A man is hired to bring an ostensibly dumb blonde up to the requirements of a gangster. Hired gun and blonde fall in love and live happily ever after. Gangster is left in the lurch. But Born Yesterday was an intelligent treatment whereas this is just so much fluff. Technicolor transfer to DVD is deplorable. Natalie Kalmus would be rolling over in her grave. Check out the paperboy. Recognize him? But, it's historically interesting to see the roots of Rock 'n Roll. Also interesting is Ewell's introduction to CinemaScope, a new format at the time.",0
"24","Superbly developed characters into the lots of funny situations full of spirit, absurdness and Serbian mentality. Movie is a great comedy, enjoyable, interesting, unpredictable. Best point in a film: characters, then humor itself, story and dialogs. Humor has 'inner development' , rare in Serbian movies. So, it is consequence of characterization, is well motivated, spontaneous and cogent. Also it is sharp, intelligent and lucid. Most of the movies, unfortunately, had constructed humor (devise a joke and put it into a characters's mouth) or ordinary situation comedy, burlesque, farce. Some of the 'art immortality' are incorporated in this movie. Little masterpiece, hardly reachable.",1
"25","**SPOILERS**<br /><br />This is one BAD movie. Seriously. Acting in absolutely horrible, the FX are dreadfull and the plot is down right awful. But hey, its so bad that its fun watching! The script is SO bad that its enjoyable! You just have to cringe and laugh at lines such as ""I guess thats what you call CROCTEASING."" as the women flash their breasts at the crocodile. I mean COME ON thats funny cause its so bad! It has such horrible jokes that they're funny! But after a while it just becomes to much as the movie turns into crap. I really started to fall asleep. Trust me though, the plastic croc foot stamping on the leaves and the constant swishes of a crock tail well keep you laughing for a long time. Though I have to say it had one cool part when the croc ripped that dude in half and he just hung there for a while figuring out what to do. Heh heh mindless movie, which HAS to be nominated for the MST3K line!!",0
"26","This movie is to Halloween what the hilarious ""Christmas Story"" is to Christmas: both are relatively low-budget, no-big-name-stars type films...and both are two of the absolute greatest and funniest movies available, both seasonal CLASSICS!!! ""Spaced Invaders"" comes galloping out right from the start with warmth and humor and a superb cast of characters...all five goofy Martians, Klembecker the Realtor, Russell the deputy, Vern at the ""fuel dispensing depot"" and so many more! You just have to see this movie to believe it, and, like ""Christmas Story"", it just keeps getting better and better with each viewing, and you pick up on fun little things each time!! MOST DEFINITELY A TEN!!!",1
"27","Let's cut to the chase: this movie is softcore pornography marketed for the masses under a name that the studio is milking every last penny out of the American Pie teat. Period.<br /><br />The whole plot (and that shouldn't imply that there's a whole lot to go around) serves as a vehicle to show the audience more boobs and sex scenes.<br /><br />If you're a Tween guy, and you're too squeamish to purchase actual pornography, then this is the movie for you. Otherwise, the movie doesn't have much to offer at all.<br /><br />The acting is sub-par, the character development is virtually non-existent, and the story is a nonsensical knarl of nudity, binge drinking and pranks (none of which are particularly memorable).<br /><br />Go buy real porn if that's what you want to see, and if not, go watch a GOOD movie. Animal House, Kids, or even the original American Pie are all great cinematic works, and all of them contain heavy alcohol use and nudity.<br /><br />""It's not how much, it's how you use it""",0
"28","I have been using IMDb for years and I never wanted to get involved in the commentary of movies<U+0085>until now. This documentary has so many problems that I hardly know what to say. I am not a Muslim, nor am I an Islamic studies expert, but I know enough to shed some light on the obvious one-sided viewpoint that this documentary espouses. <br /><br />The problems with this movie begin with the fact that it is a documentary. Most of the documentaries that I have seen anchor themselves around a few valid points and then surround those points with debatable interpretations and misinformation. This is certainly the case with Islam: What the West Needs to Know. Yes, there are fundamentalists around the world, and some of them are Muslim, but to build a documentary about all of Islam around a small percentage of radicalized people is incredibly misleading. This is really a documentary about the fundamentalist aspects of Islam and nothing more.<br /><br />For those who would like to more objectively explore some of the issues raised in this documentary, here are several points that may help. <br /><br />There was nothing positive about Islam presented in the documentary.<br /><br />The documentary focuses on the Middle East, but more Muslims live outside of that region. More Muslims live in China, believe it or not, than in Saudi Arabia. About 40% of all Muslims live in Pakistan, Bangladesh, India and Indonesia.<br /><br />The translation of the Qur'an used in the documentary is a questionable one. I watched the documentary while viewing another translation and the differences were striking. I had been warned about the translation that was used in the documentary and now I know why. Surrah 98:6 is a good example. The documentary suggests that the Surrah says that disbelievers will go to hell. But the translation I have reads instead: ""Those who reject Truth among the People of the Book and among the Polytheists will be in hellfire."" The difference is that those who reject Truth are those people who know about God and the Truth of God and decide to reject it anyways. <br /><br />The movie mentioned that there is no morality inherent in Islam, but this is not true. Although it is true that much comes from the Qur'an and Hadith, Islam also recognizes a concept called 'Urf or ""normative behavior."" Obviously what is normative can be interpreted many ways, but 'Urf is meant to be ""good"" behavior, what an average person would consider right or wrong.<br /><br />The documentary presents Shar'ia (Islamic Law) as being one unified body of knowledge that all Muslims follow. This is simply not true. There are many Islamic schools of law and they range from progressive and modernist to fundamentalist in the way they interpret law. <br /><br />The Hadith tradition is similar. There are thousands of Hadith and each school of law accepts some and rejects others. Using the Hadith without serious scholarship to determine which ones are accurate, real and applicable, is indiscriminately picking and choosing quotations from history that fit what you want to say<U+0085> which is what the documentary did.<br /><br />What I hope people realize is that fundamentalism is the problem, not Islam or any other religion. Christianity has fundamentalists that shoot abortion clinic doctors and so on. I know this is not the same as suicide bombing, just understand that the righteousness of fundamentalism is arguably the problem. If you feel you have THE answer, then everyone else must be wrong. But if you feel you have AN answer you can work together with other people's views about politics, religion, God, or whatever.",0
